iter,current_cost,best_cost,feasible
241,4032.922892,3777.144816,false
242,4032.922892,3777.144816,false
243,4032.922892,3777.144816,true
244,4032.922892,3777.144816,true
245,4032.922892,3777.144816,true
246,3748.029091,3748.029091,true
247,3877.919989,3748.029091,true
248,3877.919989,3748.029091,true
249,3877.919989,3748.029091,true
250,3877.919989,3748.029091,true
251,3877.919989,3748.029091,true
252,3877.919989,3748.029091,true
253,3877.919989,3748.029091,true
254,3877.919989,3748.029091,true
255,3877.919989,3748.029091,true
256,3961.271252,3748.029091,true
257,3961.271252,3748.029091,true
258,3961.271252,3748.029091,true
259,3961.271252,3748.029091,true
260,3961.271252,3748.029091,false
261,3961.271252,3748.029091,false
262,3961.271252,3748.029091,false
263,3981.810152,3748.029091,false
264,3981.810152,3748.029091,false
265,3981.810152,3748.029091,false
266,3961.271252,3748.029091,false
267,3961.271252,3748.029091,false
268,4321.758940,3748.029091,true
269,4321.758940,3748.029091,true
270,4321.758940,3748.029091,true
271,4321.758940,3748.029091,true
272,4321.758940,3748.029091,true
273,4321.758940,3748.029091,true
274,4321.758940,3748.029091,true
275,4550.495884,3748.029091,true
276,4346.093379,3748.029091,true
277,4224.226811,3748.029091,false
278,4224.226811,3748.029091,true
279,4038.598289,3748.029091,true
280,3956.872150,3748.029091,true
281,3947.370180,3748.029091,true
282,3947.370180,3748.029091,true
283,3914.006657,3748.029091,true
284,3914.006657,3748.029091,true
285,3914.006657,3748.029091,true
286,3916.428858,3748.029091,true
287,3940.812989,3748.029091,true
288,3940.812989,3748.029091,true
289,3906.434703,3748.029091,true
290,3906.434703,3748.029091,true
291,3906.434703,3748.029091,true
292,3906.434703,3748.029091,true
293,3906.434703,3748.029091,true
294,3906.434703,3748.029091,true
295,3906.434703,3748.029091,true
296,3906.434703,3748.029091,true
297,3906.434703,3748.029091,true
298,3906.434703,3748.029091,true
299,3913.119032,3748.029091,true
300,3913.119032,3748.029091,true
301,3906.434703,3748.029091,true
302,3906.434703,3748.029091,true
303,3998.122659,3748.029091,true
304,3906.434703,3748.029091,true
305,3926.550992,3748.029091,true
306,3967.486469,3748.029091,true
307,3904.239430,3748.029091,true
308,3891.553466,3748.029091,true
309,3838.491648,3748.029091,true
310,3838.491648,3748.029091,true
311,3838.491648,3748.029091,true
312,3830.504094,3748.029091,true
313,3830.504094,3748.029091,true
314,3818.717700,3748.029091,true
315,3914.470817,3748.029091,true
316,3840.569049,3748.029091,true
317,3840.569049,3748.029091,true
318,3840.569049,3748.029091,true
319,3840.569049,3748.029091,true
